,state,sightings_per_capita
0,AK,43.60634000642476
1,AL,13.093530021812352
2,AR,19.484231192994955
3,AZ,33.165185567731235
4,CA,22.555045814557182
5,CO,24.536634428110613
6,CT,25.01902371393944
7,DC,0.9918540444265596
8,DE,17.047251695482682
9,FL,17.855698670674663
10,GA,11.820194033900693
11,HI,18.5044975817023
12,IA,21.48922210917666
13,ID,29.15394795376777
14,IL,19.72092250987447
15,IN,19.13187910256633
16,KS,21.041329564887274
17,KY,19.137479399230873
18,LA,12.003113065453105
19,MA,18.222697908147445
20,MD,13.844596472191713
21,ME,41.51130922800868
22,MI,18.384162304516828
23,MN,17.944433253800955
24,MO,23.755879498708577
25,MS,12.600175596047107
26,MT,44.723974483007694
27,NC,16.59025614211328
28,ND,16.927756534245244
29,NE,19.69594832114011
30,NH,35.74288948166191
31,NJ,14.129398267769547
32,NM,34.33756400736541
33,NV,26.070108137380057
34,NY,15.318532170022754
35,OH,19.462576246246503
36,OK,18.296823504645346
37,OR,41.420316155322155
38,PA,18.481503147674943
39,RI,21.522408319732367
40,SC,19.480592629538172
41,SD,20.68593661512515
42,TN,16.38558338094768
43,TX,11.887895387624193
44,UT,19.401377061084393
45,VA,14.914148747135352
46,VT,41.667401188161975
47,WA,52.082150070920235
48,WI,21.159535685591283
49,WV,24.997949386964354
50,WY,30.237110783590406
